timestamp,clocks.sm[MHz],temperature.gpu[C],power.draw[W],utilization.gpu[%]
2026/07/21 12:23:36.566, 1830, 49, 157.13, 0
2026/07/21 12:23:37.711, 1830, 49, 155.28, 0
2026/07/21 12:23:38.858, 1830, 49, 159.62, 1
2026/07/21 12:23:40.000, 1470, 63, 500.39, 98
2026/07/21 12:23:41.136, 1515, 65, 567.41, 98
2026/07/21 12:23:42.269, 1530, 65, 555.40, 98
2026/07/21 12:23:43.401, 1485, 67, 560.69, 98
2026/07/21 12:23:44.537, 1470, 66, 561.43, 98
2026/07/21 12:23:45.671, 1485, 67, 561.50, 99
2026/07/21 12:23:46.804, 1560, 67, 565.80, 94
2026/07/21 12:23:47.941, 1740, 68, 567.66, 98
2026/07/21 12:23:49.080, 1830, 66, 534.19, 95
2026/07/21 12:23:50.218, 1830, 61, 428.45, 87
2026/07/21 12:23:51.354, 1830, 65, 523.53, 95
2026/07/21 12:23:52.494, 1830, 65, 524.20, 95
2026/07/21 12:23:53.635, 1830, 65, 516.48, 94
2026/07/21 12:23:54.778, 1830, 64, 490.89, 95
2026/07/21 12:23:55.915, 1830, 64, 492.04, 95
2026/07/21 12:23:57.055, 1830, 64, 491.35, 94
2026/07/21 12:23:58.195, 1830, 64, 488.87, 94
2026/07/21 12:23:59.332, 1830, 64, 491.39, 95
2026/07/21 12:24:00.470, 1830, 64, 487.67, 95
2026/07/21 12:24:01.608, 1830, 64, 489.07, 93
2026/07/21 12:24:02.744, 1830, 64, 489.82, 95
2026/07/21 12:24:03.882, 1830, 64, 489.64, 95
2026/07/21 12:24:05.023, 1830, 64, 490.38, 95
2026/07/21 12:24:06.167, 1830, 60, 445.03, 71
2026/07/21 12:24:07.306, 1830, 52, 157.36, 0
2026/07/21 12:24:08.452, 1830, 51, 159.16, 0
2026/07/21 12:24:09.631, 1830, 50, 158.78, 0
2026/07/21 12:24:11.126, 1830, 50, 158.22, 0
2026/07/21 12:24:12.268, 1830, 50, 157.95, 0
2026/07/21 12:24:13.407, 1830, 49, 157.86, 0
2026/07/21 12:24:14.546, 1830, 49, 157.80, 0
2026/07/21 12:24:15.688, 1830, 49, 157.56, 0
2026/07/21 12:24:16.831, 1830, 49, 157.40, 0
2026/07/21 12:24:17.973, 1830, 49, 156.99, 0
2026/07/21 12:24:19.117, 1830, 49, 156.80, 0
2026/07/21 12:24:20.261, 1830, 49, 156.53, 2
2026/07/21 12:24:21.406, 1830, 49, 153.19, 1
2026/07/21 12:24:22.547, 1830, 49, 181.30, 0
2026/07/21 12:24:23.683, 1500, 63, 552.79, 100
2026/07/21 12:24:24.820, 1485, 65, 564.96, 97
2026/07/21 12:24:25.958, 1485, 65, 566.46, 100
2026/07/21 12:24:27.100, 1575, 67, 564.48, 97
2026/07/21 12:24:28.235, 1560, 67, 562.77, 97
2026/07/21 12:24:29.373, 1560, 67, 563.19, 97
2026/07/21 12:24:30.515, 1485, 67, 563.52, 97
2026/07/21 12:24:31.653, 1455, 67, 559.87, 98
2026/07/21 12:24:32.792, 1470, 68, 565.26, 97
2026/07/21 12:24:33.932, 1455, 67, 560.11, 98
2026/07/21 12:24:35.070, 1500, 66, 560.34, 100
2026/07/21 12:24:36.209, 1485, 67, 562.55, 100
2026/07/21 12:24:37.351, 1515, 67, 561.37, 97
2026/07/21 12:24:38.494, 1485, 66, 562.88, 97
2026/07/21 12:24:39.632, 1560, 67, 559.94, 99
2026/07/21 12:24:40.774, 1815, 60, 505.59, 91
2026/07/21 12:24:41.914, 1530, 66, 555.11, 97
2026/07/21 12:24:43.053, 1515, 66, 558.29, 99
2026/07/21 12:24:44.192, 1470, 66, 559.71, 100
2026/07/21 12:24:45.330, 1560, 67, 561.59, 97
2026/07/21 12:24:46.470, 1620, 67, 559.78, 97
2026/07/21 12:24:47.608, 1590, 67, 559.78, 98
2026/07/21 12:24:48.746, 1665, 68, 561.73, 97
2026/07/21 12:24:49.883, 1650, 67, 558.38, 97
2026/07/21 12:24:51.023, 1545, 67, 559.81, 98
2026/07/21 12:24:52.161, 1650, 67, 562.72, 97
2026/07/21 12:24:53.300, 1545, 67, 558.47, 97
2026/07/21 12:24:54.440, 1590, 67, 557.62, 97
2026/07/21 12:24:55.577, 1665, 68, 560.39, 97
2026/07/21 12:24:56.714, 1575, 67, 559.36, 97
2026/07/21 12:24:57.856, 1710, 62, 541.01, 82
2026/07/21 12:24:59.000, 1830, 53, 158.82, 0
2026/07/21 12:25:00.142, 1830, 52, 159.28, 0
2026/07/21 12:25:01.381, 1830, 51, 158.79, 0
2026/07/21 12:25:02.528, 1830, 50, 158.42, 0
2026/07/21 12:25:03.888, 1830, 50, 158.04, 0
2026/07/21 12:25:05.043, 1830, 50, 157.72, 0
2026/07/21 12:25:06.193, 1830, 50, 157.60, 0
2026/07/21 12:25:07.339, 1830, 50, 157.45, 0
2026/07/21 12:25:08.491, 1830, 49, 157.29, 0
2026/07/21 12:25:09.638, 1830, 49, 157.24, 0
2026/07/21 12:25:10.784, 1830, 49, 157.02, 0
2026/07/21 12:25:11.930, 1830, 49, 156.91, 0
2026/07/21 12:25:13.077, 1830, 49, 156.91, 0
2026/07/21 12:25:14.227, 1830, 49, 156.86, 0
2026/07/21 12:25:15.377, 1830, 49, 156.73, 0
2026/07/21 12:25:16.834, 1830, 49, 156.77, 0
2026/07/21 12:25:17.980, 1830, 49, 156.71, 0
2026/07/21 12:25:19.123, 1830, 49, 156.74, 0
2026/07/21 12:25:20.265, 1830, 49, 156.55, 0
2026/07/21 12:25:21.406, 1830, 49, 156.62, 0
2026/07/21 12:25:22.555, 1830, 49, 156.54, 0
2026/07/21 12:25:23.707, 1830, 49, 156.59, 0
2026/07/21 12:25:24.853, 1830, 49, 156.61, 0
2026/07/21 12:25:25.996, 1830, 49, 156.56, 0
2026/07/21 12:25:27.151, 1830, 49, 156.57, 0
2026/07/21 12:25:28.297, 1830, 49, 156.55, 0
2026/07/21 12:25:29.446, 1830, 49, 156.54, 0
2026/07/21 12:25:30.595, 1830, 49, 156.68, 0
2026/07/21 12:25:31.739, 1830, 49, 156.56, 0
2026/07/21 12:25:32.886, 1830, 49, 156.65, 0
2026/07/21 12:25:34.034, 1830, 49, 156.59, 0
2026/07/21 12:25:35.182, 1830, 48, 155.91, 2
2026/07/21 12:25:36.334, 1830, 48, 152.41, 0
2026/07/21 12:25:37.480, 1830, 48, 152.52, 0
2026/07/21 12:25:38.625, 1830, 48, 152.41, 0
2026/07/21 12:25:39.768, 1830, 48, 152.26, 0
2026/07/21 12:25:40.921, 1830, 48, 160.60, 0
2026/07/21 12:25:42.070, 1830, 49, 159.51, 3
2026/07/21 12:25:43.220, 1830, 48, 152.91, 0
2026/07/21 12:25:44.367, 1830, 48, 152.35, 0
2026/07/21 12:25:45.511, 1815, 54, 300.40, 30
2026/07/21 12:25:46.667, 1440, 63, 408.41, 99
2026/07/21 12:25:47.818, 1425, 66, 570.54, 99
