timestamp,clocks.sm[MHz],temperature.gpu[C],power.draw[W],utilization.gpu[%]
2026/07/21 11:20:21.242, 345, 47, 89.51, 0
2026/07/21 11:20:22.419, 345, 47, 89.27, 0
2026/07/21 11:20:23.595, 345, 47, 89.10, 0
2026/07/21 11:20:24.771, 345, 47, 89.24, 0
2026/07/21 11:20:25.946, 345, 47, 89.17, 0
2026/07/21 11:20:27.122, 345, 47, 89.10, 0
2026/07/21 11:20:28.301, 345, 47, 89.07, 0
2026/07/21 11:20:29.484, 345, 47, 89.15, 0
2026/07/21 11:20:30.667, 345, 47, 89.13, 0
2026/07/21 11:20:31.847, 345, 47, 89.25, 0
2026/07/21 11:20:33.026, 345, 46, 89.10, 0
2026/07/21 11:20:34.200, 345, 46, 89.20, 0
2026/07/21 11:20:35.521, 345, 46, 89.22, 0
2026/07/21 11:20:37.289, 345, 46, 89.29, 0
2026/07/21 11:20:38.464, 345, 46, 89.23, 0
2026/07/21 11:20:39.646, 345, 46, 89.25, 0
2026/07/21 11:20:40.825, 345, 46, 89.18, 0
2026/07/21 11:20:42.006, 345, 46, 89.47, 0
2026/07/21 11:20:43.189, 345, 46, 89.31, 0
2026/07/21 11:20:44.365, 345, 46, 89.64, 0
2026/07/21 11:20:45.547, 345, 46, 89.71, 0
2026/07/21 11:20:46.728, 345, 46, 89.73, 0
2026/07/21 11:20:47.904, 345, 46, 89.33, 0
2026/07/21 11:20:49.083, 345, 46, 89.42, 0
2026/07/21 11:20:50.260, 345, 46, 89.35, 0
2026/07/21 11:20:51.449, 345, 46, 89.54, 0
2026/07/21 11:20:52.631, 345, 46, 89.18, 0
2026/07/21 11:20:53.808, 345, 46, 89.42, 0
2026/07/21 11:20:54.990, 345, 46, 89.33, 0
2026/07/21 11:20:56.167, 345, 46, 89.71, 0
2026/07/21 11:20:57.332, 1980, 48, 138.76, 0
2026/07/21 11:20:58.496, 1980, 49, 142.93, 0
2026/07/21 11:20:59.870, 1980, 49, 142.77, 0
2026/07/21 11:21:01.050, 1980, 49, 142.50, 0
2026/07/21 11:21:02.209, 1980, 49, 142.56, 0
2026/07/21 11:21:03.368, 1980, 49, 142.62, 0
2026/07/21 11:21:04.532, 1980, 50, 171.91, 0
2026/07/21 11:21:05.696, 1980, 49, 150.00, 0
2026/07/21 11:21:06.857, 1980, 49, 143.83, 0
2026/07/21 11:21:08.024, 1935, 54, 206.09, 88
2026/07/21 11:21:09.198, 1980, 50, 222.82, 14
2026/07/21 11:21:10.367, 1395, 64, 517.00, 100
2026/07/21 11:21:11.539, 1425, 66, 528.63, 99
2026/07/21 11:21:12.713, 1575, 68, 545.65, 97
2026/07/21 11:21:13.892, 1455, 68, 548.26, 98
2026/07/21 11:21:15.072, 1455, 69, 548.37, 98
2026/07/21 11:21:16.260, 1425, 69, 551.85, 99
2026/07/21 11:21:17.443, 1530, 65, 349.32, 95
2026/07/21 11:21:18.621, 1500, 68, 544.06, 99
2026/07/21 11:21:19.809, 1500, 69, 559.30, 99
2026/07/21 11:21:20.987, 1485, 69, 553.38, 100
2026/07/21 11:21:22.166, 1575, 69, 551.87, 97
2026/07/21 11:21:23.344, 1575, 69, 556.36, 97
2026/07/21 11:21:24.532, 1605, 69, 554.87, 94
2026/07/21 11:21:25.714, 1590, 70, 554.18, 99
2026/07/21 11:21:26.889, 1560, 70, 556.08, 100
2026/07/21 11:21:28.068, 1530, 70, 554.66, 97
2026/07/21 11:21:29.252, 1485, 70, 556.65, 97
2026/07/21 11:21:30.441, 1500, 69, 550.33, 99
2026/07/21 11:21:31.620, 1560, 70, 554.31, 98
2026/07/21 11:21:32.800, 1500, 70, 551.34, 100
2026/07/21 11:21:33.980, 1530, 70, 553.77, 100
2026/07/21 11:21:35.169, 1560, 70, 544.25, 97
2026/07/21 11:21:36.350, 1560, 70, 551.66, 97
2026/07/21 11:21:37.526, 1500, 70, 553.27, 99
2026/07/21 11:21:38.709, 1530, 70, 552.08, 100
2026/07/21 11:21:39.872, 1980, 56, 319.36, 0
2026/07/21 11:21:41.030, 1980, 53, 145.54, 0
2026/07/21 11:21:42.186, 1980, 52, 144.47, 0
2026/07/21 11:21:43.348, 1980, 52, 144.13, 0
2026/07/21 11:21:44.511, 1980, 51, 143.62, 0
2026/07/21 11:21:45.674, 1980, 51, 145.88, 0
2026/07/21 11:21:46.831, 1980, 51, 147.71, 0
2026/07/21 11:21:48.085, 345, 48, 90.08, 0
2026/07/21 11:21:49.761, 345, 48, 89.91, 0
2026/07/21 11:21:50.950, 345, 48, 89.92, 0
2026/07/21 11:21:52.128, 345, 47, 90.01, 0
2026/07/21 11:21:53.306, 345, 47, 90.08, 0
2026/07/21 11:21:54.482, 345, 47, 90.07, 0
2026/07/21 11:21:55.668, 345, 47, 89.99, 0
2026/07/21 11:21:56.853, 345, 47, 89.78, 0
2026/07/21 11:21:58.032, 345, 47, 90.14, 0
2026/07/21 11:21:59.209, 345, 47, 89.95, 0
2026/07/21 11:22:00.374, 1980, 49, 138.59, 0
2026/07/21 11:22:01.653, 1965, 52, 210.67, 21
2026/07/21 11:22:02.831, 1380, 63, 397.74, 99
