model,source,value
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,9353.998184204102
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8331.210851669312
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8340.797662734985
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,9017.592668533325
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8321.616172790527
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8341.573715209961
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8321.413516998291
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8332.89909362793
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8343.279123306274
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8349.473714828491
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8326.101779937744
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8328.518390655518
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8323.479175567627
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8327.335596084595
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8306.123733520508
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8309.5383644104
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8321.024656295776
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8334.655284881592
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8326.11346244812
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8330.597639083862
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8345.795154571533
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8347.508192062378
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8318.282127380371
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8335.896015167236
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8326.68399810791
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8319.507837295532
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8321.429252624512
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8330.172777175903
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8331.204175949097
qwen3-32b-tp4-pp2-mbs2-vpp8,Baseline,8320.959568023682
